,number_of_commits,number_of_unique_committers,week,repoID
244,0,0,2019-12-15 00:00:00+00:00,33628160
245,0,0,2019-12-22 00:00:00+00:00,33628160
246,0,0,2019-12-29 00:00:00+00:00,33628160
247,0,0,2020-01-05 00:00:00+00:00,33628160
248,0,0,2020-01-12 00:00:00+00:00,33628160
249,0,0,2020-01-19 00:00:00+00:00,33628160
250,0,0,2020-01-26 00:00:00+00:00,33628160
251,0,0,2020-02-02 00:00:00+00:00,33628160
252,2,1,2020-02-09 00:00:00+00:00,33628160
253,3,1,2020-02-16 00:00:00+00:00,33628160
254,0,0,2020-02-23 00:00:00+00:00,33628160
255,0,0,2020-03-01 00:00:00+00:00,33628160
256,0,0,2020-03-08 00:00:00+00:00,33628160
257,2,1,2020-03-15 00:00:00+00:00,33628160
258,1,1,2020-03-22 00:00:00+00:00,33628160
259,0,0,2020-03-29 00:00:00+00:00,33628160
260,0,0,2020-04-05 00:00:00+00:00,33628160
261,9,2,2020-04-12 00:00:00+00:00,33628160
262,0,0,2020-04-19 00:00:00+00:00,33628160
263,0,0,2020-04-26 00:00:00+00:00,33628160
264,2,1,2020-05-03 00:00:00+00:00,33628160
265,0,0,2020-05-10 00:00:00+00:00,33628160
266,5,2,2020-05-17 00:00:00+00:00,33628160
267,1,1,2020-05-24 00:00:00+00:00,33628160
268,8,1,2020-05-31 00:00:00+00:00,33628160
269,7,2,2020-06-07 00:00:00+00:00,33628160
270,1,1,2020-06-14 00:00:00+00:00,33628160
271,0,0,2020-06-21 00:00:00+00:00,33628160
272,1,1,2020-06-28 00:00:00+00:00,33628160
273,0,0,2020-07-05 00:00:00+00:00,33628160
274,3,1,2020-07-12 00:00:00+00:00,33628160
275,3,2,2020-07-19 00:00:00+00:00,33628160
276,2,1,2020-07-26 00:00:00+00:00,33628160
277,3,2,2020-08-02 00:00:00+00:00,33628160
278,2,1,2020-08-09 00:00:00+00:00,33628160
279,0,0,2020-08-16 00:00:00+00:00,33628160
280,1,1,2020-08-23 00:00:00+00:00,33628160
281,0,0,2020-08-30 00:00:00+00:00,33628160
282,0,0,2020-09-06 00:00:00+00:00,33628160
283,0,0,2020-09-13 00:00:00+00:00,33628160
284,0,0,2020-09-20 00:00:00+00:00,33628160
285,3,1,2020-09-27 00:00:00+00:00,33628160
286,16,2,2018-08-12 00:00:00+00:00,143887688
287,11,2,2018-08-19 00:00:00+00:00,143887688
288,17,2,2018-08-26 00:00:00+00:00,143887688
289,0,0,2018-09-02 00:00:00+00:00,143887688
290,1,1,2018-09-09 00:00:00+00:00,143887688
291,1,1,2018-09-16 00:00:00+00:00,143887688
292,1,1,2018-09-23 00:00:00+00:00,143887688
293,1,1,2018-09-30 00:00:00+00:00,143887688
294,3,1,2018-10-07 00:00:00+00:00,143887688
295,8,1,2018-10-14 00:00:00+00:00,143887688
296,1,1,2018-10-21 00:00:00+00:00,143887688
297,0,0,2018-10-28 00:00:00+00:00,143887688
298,6,2,2018-11-04 00:00:00+00:00,143887688
299,7,2,2018-11-11 00:00:00+00:00,143887688
300,0,0,2018-11-18 00:00:00+00:00,143887688
301,0,0,2018-11-25 00:00:00+00:00,143887688
302,0,0,2018-12-02 00:00:00+00:00,143887688
303,0,0,2018-12-09 00:00:00+00:00,143887688
304,1,1,2018-12-16 00:00:00+00:00,143887688
305,6,2,2018-12-23 00:00:00+00:00,143887688
306,0,0,2018-12-30 00:00:00+00:00,143887688
307,2,1,2019-01-06 00:00:00+00:00,143887688
308,4,1,2019-01-13 00:00:00+00:00,143887688
309,0,0,2019-01-20 00:00:00+00:00,143887688
