,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,week,repoID
166,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-06-04,7567432
167,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-06-11,7567432
168,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-06-18,7567432
169,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2017-06-25,7567432
170,5.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2017-07-02,7567432
171,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-07-09,7567432
172,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-07-16,7567432
173,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-07-23,7567432
174,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-07-30,7567432
175,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2017-08-06,7567432
176,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2017-08-13,7567432
177,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2017-08-20,7567432
178,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-08-27,7567432
179,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-09-03,7567432
180,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-09-10,7567432
181,1.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,2017-09-17,7567432
182,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2017-09-24,7567432
183,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-10-01,7567432
184,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-10-08,7567432
185,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-10-15,7567432
186,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-10-22,7567432
187,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-10-29,7567432
188,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2017-11-05,7567432
189,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-11-12,7567432
190,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-11-19,7567432
191,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-11-26,7567432
192,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2017-12-03,7567432
193,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-12-10,7567432
194,11.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,2017-12-17,7567432
195,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2017-12-24,7567432
196,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2017-12-31,7567432
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-07,7567432
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-14,7567432
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-21,7567432
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-28,7567432
201,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2018-02-04,7567432
202,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-02-11,7567432
203,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-02-18,7567432
204,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-02-25,7567432
205,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-03-04,7567432
206,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,2018-03-11,7567432
207,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-03-18,7567432
208,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-03-25,7567432
209,0.0,1.0,1.0,7.0,3.0,2.0,0.0,0.0,0.0,2018-04-01,7567432
210,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2018-04-08,7567432
211,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-04-15,7567432
212,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-04-22,7567432
213,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-04-29,7567432
214,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-05-06,7567432
215,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-05-13,7567432
216,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-05-20,7567432
217,10.0,1.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,2018-05-27,7567432
218,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-06-03,7567432
219,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2018-06-10,7567432
220,3.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-06-17,7567432
221,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-06-24,7567432
222,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-07-01,7567432
223,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2018-07-08,7567432
224,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-07-15,7567432
225,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-07-22,7567432
226,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2018-07-29,7567432
227,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-08-05,7567432
228,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-08-12,7567432
229,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2018-08-19,7567432
230,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-08-26,7567432
231,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2018-09-02,7567432
232,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2018-09-09,7567432
233,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-09-16,7567432
234,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-09-23,7567432
235,3.0,2.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,2018-09-30,7567432
236,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-10-07,7567432
237,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,2018-10-14,7567432
238,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-10-21,7567432
239,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-10-28,7567432
240,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2018-11-04,7567432
241,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2018-11-11,7567432
242,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2018-11-18,7567432
243,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2018-11-25,7567432
244,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-12-02,7567432
245,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2018-12-09,7567432
246,0.0,0.0,1.0,7.0,4.0,4.0,0.0,0.0,0.0,2018-12-16,7567432
247,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2018-12-23,7567432
248,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2018-12-30,7567432
249,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2019-01-06,7567432
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-13,7567432
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-20,7567432
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-27,7567432
253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-02-03,7567432
254,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2019-02-10,7567432
255,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2019-02-17,7567432
256,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2019-02-24,7567432
257,0.0,1.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,2019-03-03,7567432
258,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2019-03-10,7567432
259,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2019-03-17,7567432
260,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2019-03-24,7567432
261,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2019-03-31,7567432
262,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2019-04-07,7567432
263,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2019-04-14,7567432
264,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2019-04-21,7567432
265,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2019-04-28,7567432
266,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2019-05-05,7567432
267,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2019-05-12,7567432
268,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2019-05-19,7567432
269,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2019-05-26,7567432
270,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2019-06-02,7567432
271,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2019-06-09,7567432
272,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2019-06-16,7567432
273,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-06-23,7567432
274,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-06-30,7567432
275,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2019-07-07,7567432
276,1.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,2019-07-14,7567432
